symbol,name,market
2434,統懋半導體股份有限公司,TW
2436,偉詮電子股份有限公司,TW
2438,翔耀實業股份有限公司,TW
2439,美律實業股份有限公司,TW
2440,太空梭高傳真資訊科技(股)公司,TW
2441,超豐電子股份有限公司,TW
2442,新美齊股份有限公司,TW
2444,兆勁科技股份有限公司,TW
2449,京元電子股份有限公司,TW
2450,神腦國際企業股份有限公司,TW
2451,創見資訊股份有限公司,TW
2453,凌群電腦股份有限公司,TW
2454,聯發科技股份有限公司,TW
2455,全新光電科技股份有限公司,TW
2457,飛宏科技股份有限公司,TW
2458,義隆電子股份有限公司,TW
2459,敦吉科技股份有限公司,TW
2460,建通精密工業股份有限公司,TW
2461,光群雷射科技股份有限公司,TW
2462,台灣良得電子股份有限公司,TW
2464,盟立自動化股份有限公司,TW
2465,麗臺科技股份有限公司,TW
2466,冠西電子企業股份有限公司,TW
2467,志聖工業股份有限公司,TW
2468,華經資訊企業股份有限公司,TW
2471,資通電腦股份有限公司,TW
2472,立隆電子工業股份有限公司,TW
2474,可成科技股份有限公司,TW
2476,鉅祥企業股份有限公司,TW
2477,美隆工業股份有限公司,TW
2478,大毅科技股份有限公司,TW
2480,敦陽科技股份有限公司,TW
2481,強茂股份有限公司,TW
2482,連宇股份有限公司,TW
2483,百容電子股份有限公司,TW
2484,希華晶體科技股份有限公司,TW
2485,兆赫電子股份有限公司,TW
2486,一詮精密工業股份有限公司,TW
2488,漢平電子工業股份有限公司,TW
2489,瑞軒科技股份有限公司,TW
2491,吉祥全球實業股份有限公司,TW
2492,華新科技股份有限公司,TW
2493,揚博科技股份有限公司,TW
2495,普安科技股份有限公司,TW
2496,卓越成功股份有限公司,TW
2497,怡利電子工業股份有限公司,TW
2498,宏達國際電子股份有限公司,TW
2501,國泰建設股份有限公司,TW
2504,國產建材實業股份有限公司,TW
2505,國揚實業股份有限公司,TW
2506,太平洋建設股份有限公司,TW
2509,全坤建設開發股份有限公司,TW
2511,太子建設開發股份有限公司,TW
2514,龍邦國際興業股份有限公司,TW
2515,中華工程股份有限公司,TW
2516,新亞建設開發股份有限公司,TW
2520,冠德建設股份有限公司,TW
2524,京城建設股份有限公司,TW
2527,宏璟建設股份有限公司,TW
2528,皇普建設股份有限公司,TW
2530,大華建設股份有限公司,TW
2534,宏盛建設股份有限公司,TW
2535,達欣工程股份有限公司,TW
2536,宏普建設股份有限公司,TW
2537,聯上開發股份有限公司,TW
2538,基泰建設股份有限公司,TW
2539,櫻花建設股份有限公司,TW
2540,愛山林建設開發股份有限公司,TW
2542,興富發建設股份有限公司,TW
